"Date","Price","Open","High","Low","Vol.","Change %"
"08/18/2021","25,459.0","24,899.0","25,925.0","24,713.0","18.10M","1.87%"
"08/19/2021","24,992.0","25,459.0","25,459.0","24,992.0","10.05M","-1.83%"
"08/20/2021","23,314.0","24,992.0","25,179.0","22,754.0","15.84M","-6.71%"
"08/23/2021","21,915.0","23,314.0","23,407.0","21,915.0","17.47M","-6.00%"
"08/24/2021","22,475.0","22,381.0","22,848.0","22,101.0","7.22M","2.56%"
"08/25/2021","23,127.0","22,848.0","23,127.0","22,475.0","5.46M","2.90%"
"08/26/2021","22,568.0","23,034.0","23,221.0","22,475.0","5.55M","-2.42%"
"08/27/2021","23,034.0","22,568.0","23,034.0","22,008.0","7.83M","2.06%"
"08/30/2021","23,500.0","23,127.0","23,780.0","23,127.0","6.35M","2.02%"
"08/31/2021","24,153.0","23,500.0","24,619.0","23,407.0","14.03M","2.78%"
"09/01/2021","24,340.0","24,153.0","24,619.0","23,687.0","8.92M","0.77%"
"09/06/2021","24,806.0","24,619.0","25,365.0","24,340.0","11.02M","1.91%"
"09/07/2021","23,873.0","24,992.0","24,992.0","23,780.0","9.47M","-3.76%"
"09/08/2021","23,500.0","23,687.0","24,153.0","23,314.0","7.38M","-1.56%"
"09/09/2021","24,246.0","23,594.0","24,246.0","23,500.0","4.58M","3.17%"
"09/10/2021","23,780.0","24,246.0","24,340.0","23,687.0","5.36M","-1.92%"
"09/13/2021","25,086.0","24,060.0","25,365.0","23,967.0","18.48M","5.49%"
"09/14/2021","24,899.0","25,086.0","25,552.0","24,806.0","7.67M","-0.75%"
"09/15/2021","26,484.0","24,992.0","26,858.0","24,713.0","19.65M","6.37%"
"09/16/2021","26,298.0","26,671.0","27,137.0","26,018.0","9.49M","-0.70%"
"09/17/2021","26,298.0","26,578.0","26,858.0","26,205.0","10.55M","0.00%"
"09/20/2021","25,179.0","26,298.0","26,858.0","24,992.0","18.94M","-4.26%"
"09/21/2021","26,205.0","25,086.0","26,298.0","24,526.0","14.77M","4.07%"
"09/22/2021","26,298.0","26,111.0","26,484.0","25,832.0","5.80M","0.35%"
"09/23/2021","25,925.0","26,484.0","26,951.0","25,925.0","11.48M","-1.42%"
"09/24/2021","25,738.0","26,111.0","26,484.0","25,552.0","8.71M","-0.72%"
"09/27/2021","25,351.0","26,319.0","26,996.0","25,351.0","9.41M","-1.50%"
"09/28/2021","27,383.0","25,351.0","27,577.0","25,351.0","15.97M","8.02%"
